	Rank	Player Name	Accuracy	Play Count	pp	SS count	S count	A count
0	53	 Henrick	99.72	90,449 (lv.100)	12,794pp	1113	1759	1071
1	178	 l3ssili	99.66	36,166 (lv.100)	10,255pp	401	2191	658
2	197	 - Sumire -	99.71	68,271 (lv.101)	10,033pp	345	2160	637
3	137	 LeWind	99.65	116,561 (lv.102)	10,797pp	356	1885	528
4	154	 Electr0o	99.65	65,189 (lv.100)	10,528pp	125	1313	500
5	199	 tsubaki131	99.66	56,052 (lv.100)	10,018pp	170	1861	491
6	157	 -Mitsu	99.70	110,472 (lv.102)	10,513pp	838	3354	481
7	15	 ekr	99.15	239,955 (lv.105)	15,744pp	339	3001	474
8	148	 L3gEnDaRy97	99.60	64,073 (lv.101)	10,632pp	435	2697	460
9	79	 Sanami	99.65	47,375 (lv.101)	12,095pp	794	4555	430
10	169	 Kasumii-sama	99.82	74,329 (lv.101)	10,344pp	383	3343	388
11	26	 diao	99.58	242,850 (lv.105)	14,134pp	858	3859	379
12	165	 trig0n	99.71	42,134 (lv.100)	10,424pp	239	1411	377
13	30	 Stardust Prism	99.83	51,391 (lv.101)	14,031pp	507	1812	354
14	177	 Sartan	99.61	30,578 (lv.100)	10,268pp	90	688	341
15	115	 forgottentaco	99.80	93,752 (lv.102)	11,402pp	5460	3787	336
16	129	 Enchant	98.99	65,099 (lv.100)	10,933pp	120	852	333
17	51	 Lume	99.82	70,162 (lv.102)	12,866pp	378	1595	332
18	232	 -Naroh	99.36	67,475 (lv.100)	9,700pp	349	1559	330
19	246	 Quinten323	99.53	34,800 (lv.100)	9,548pp	317	1243	328
20	211	 Acooler	99.64	46,267 (lv.101)	9,909pp	171	1751	325
21	101	 Amlink	99.79	72,092 (lv.101)	11,634pp	2181	2341	311
22	188	 Shinji Wings	99.83	87,388 (lv.101)	10,152pp	381	2361	309
23	223	 Horuhe	99.79	48,981 (lv.101)	9,785pp	358	2223	300
24	48	 Shiroi Lelouch	99.90	88,608 (lv.103)	12,998pp	1308	2783	271
25	64	 SharpN	99.63	125,953 (lv.103)	12,386pp	265	1816	258
26	67	 -Ken	99.87	106,962 (lv.102)	12,339pp	2343	3547	256
27	52	 - N a g i -	99.66	134,203 (lv.103)	12,866pp	741	3319	253
28	233	 Eito	99.67	61,693 (lv.101)	9,657pp	312	1100	243
29	6	 ArMa79	99.88	101,836 (lv.102)	16,661pp	516	1088	240
30	194	 PakaChan	99.40	174,626 (lv.102)	10,048pp	11477	1786	240
31	228	 Lacrima	99.85	24,414 (lv.100)	9,741pp	182	555	240
32	74	 Kenny331	99.80	58,432 (lv.101)	12,245pp	1195	2526	236
33	221	 Rimura-sama	99.70	121,622 (lv.102)	9,805pp	2642	3709	236
34	22	 Aryssiel	99.82	87,263 (lv.102)	14,816pp	1445	1932	234
35	155	 [ Seraf ]	99.77	85,522 (lv.101)	10,527pp	564	2115	234
36	136	 Cowboy	99.80	110,993 (lv.102)	10,798pp	1082	2265	229
37	153	 -Blacky-	99.79	38,113 (lv.100)	10,572pp	79	619	229
38	146	 Ascendance	99.68	28,486 (lv.100)	10,657pp	86	883	224
39	203	 NachoL	99.80	98,376 (lv.102)	9,997pp	1213	3598	220
40	185	 Colin	99.66	71,913 (lv.101)	10,173pp	408	1461	215
41	58	 fireyun06	99.81	40,515 (lv.101)	12,526pp	326	1204	214
42	174	 Titan-	99.74	71,931 (lv.101)	10,328pp	965	2127	213
43	214	 woodpamp	99.86	96,019 (lv.101)	9,874pp	810	1068	210
44	108	 Hana Yukiko	99.77	31,735 (lv.100)	11,550pp	149	816	209
45	128	 [- Taylan -]	99.92	15,707 (lv.98)	10,983pp	154	428	207
46	204	 Aceon	99.83	48,650 (lv.102)	9,993pp	1173	1947	206
47	168	 Del	99.16	125,801 (lv.101)	10,365pp	510	3620	203
48	45	 dika312	99.79	45,938 (lv.101)	13,193pp	390	1367	202
49	126	 Deley-	99.91	76,333 (lv.101)	11,037pp	340	632	201
50	104	 Inryuka	99.48	73,485 (lv.101)	11,594pp	224	1065	199
51	106	 Kasumi	99.63	47,788 (lv.102)	11,565pp	126	1452	198
52	43	 Re1ax7	99.77	29,985 (lv.101)	13,315pp	156	945	195
53	90	 Smukur	99.67	52,079 (lv.101)	11,777pp	194	1022	195
54	179	 -Nicotine	99.76	61,534 (lv.101)	10,252pp	164	1006	195
55	88	 Hareimu	99.83	52,850 (lv.101)	11,804pp	752	1549	194
56	131	 Ken Doll	99.90	73,441 (lv.102)	10,894pp	3843	3089	193
57	85	 FABninja	99.76	85,173 (lv.102)	11,867pp	510	1900	189
58	122	 IMMORTXLZ	99.87	40,890 (lv.101)	11,132pp	769	1726	183
59	117	 Snowless	99.48	42,542 (lv.100)	11,326pp	35	971	181
60	163	 Elusion	99.83	69,446 (lv.100)	10,433pp	1078	1897	179
61	47	 Holloh	99.89	78,487 (lv.102)	13,066pp	662	1720	178
62	216	 Skyleia	99.73	47,186 (lv.101)	9,858pp	232	909	177
63	220	 Callixtro	99.82	39,772 (lv.100)	9,811pp	286	824	177
64	240	 Badis	99.68	184,365 (lv.103)	9,617pp	2067	4316	173
65	195	 Setomi	99.75	31,380 (lv.100)	10,047pp	396	1007	172
66	7	 -Story-	99.93	68,089 (lv.102)	16,559pp	817	1406	171
67	135	 Gersonfull	99.80	160,158 (lv.102)	10,802pp	2945	3600	169
68	99	 lineqtxz	99.70	129,640 (lv.104)	11,663pp	901	2177	168
69	224	 [Nico]	99.69	75,322 (lv.102)	9,778pp	1044	2441	167
70	186	 Cxlucha	99.76	186,858 (lv.105)	10,159pp	6646	5432	166
71	189	 -The Gosu-	99.78	64,969 (lv.101)	10,101pp	1185	1078	166
72	8	 qwhj1027	99.95	196,518 (lv.108)	16,447pp	1386	2346	165
73	109	 Jakkubon	99.55	63,513 (lv.101)	11,531pp	374	1858	164
74	18	 Libegon	99.86	65,088 (lv.102)	15,162pp	865	1357	160
75	1	 Motion	99.83	93,210 (lv.103)	18,416pp	879	2546	159
76	116	 _Chicken_	99.78	46,730 (lv.101)	11,333pp	225	1190	158
77	145	 customCat	99.89	65,379 (lv.103)	10,665pp	951	2610	155
